#Iteration center.0 center.1 sigma.0 sigma.1 height
421000 0.68120087 1.1749532 0.3 0.3 0.3
422000 1.0665339 2.7036646 0.3 0.3 0.3
423000 0.96912558 2.6290277 0.3 0.3 0.3
424000 1.0229245 2.630931 0.3 0.3 0.3
425000 1.2240973 2.5868237 0.3 0.3 0.3
426000 0.92844935 2.7865373 0.3 0.3 0.3
427000 0.8392141 2.8087841 0.3 0.3 0.3
428000 0.99277855 2.9786269 0.3 0.3 0.3
429000 1.1129397 2.7760243 0.3 0.3 0.3
430000 0.96335059 -3.1085803 0.3 0.3 0.3
431000 1.1115832 2.8434805 0.3 0.3 0.3
432000 1.0593781 2.8627483 0.3 0.3 0.3
433000 1.1180594 2.9735228 0.3 0.3 0.3
434000 1.5300714 2.4182301 0.3 0.3 0.3
435000 1.0043918 3.0274452 0.3 0.3 0.3
436000 1.2161843 2.6693678 0.3 0.3 0.3
437000 1.149938 2.7854251 0.3 0.3 0.3
438000 1.2312394 2.5900998 0.3 0.3 0.3
439000 0.74780724 2.5505218 0.3 0.3 0.3
440000 0.94388087 2.546036 0.3 0.3 0.3
441000 1.2163612 3.0689281 0.3 0.3 0.3
442000 0.66996168 1.1975802 0.3 0.3 0.3
443000 0.73938028 0.72110427 0.3 0.3 0.3
444000 0.91561526 1.6491339 0.3 0.3 0.3
445000 1.0354017 1.2450598 0.3 0.3 0.3
446000 0.39859054 1.0985108 0.3 0.3 0.3
447000 -0.43171382 2.2158156 0.3 0.3 0.3
448000 -1.6753764 1.7636706 0.3 0.3 0.3
449000 -0.98091842 2.1655677 0.3 0.3 0.3
450000 -1.2671165 1.8636129 0.3 0.3 0.3
451000 -1.4776566 2.8025612 0.3 0.3 0.3
452000 -2.4793978 1.3422357 0.3 0.3 0.3
453000 -2.7938554 2.4400624 0.3 0.3 0.3
454000 -2.7704128 2.7367763 0.3 0.3 0.3
455000 -1.5702565 1.7269444 0.3 0.3 0.3
456000 -0.77307275 1.917691 0.3 0.3 0.3
457000 -1.6682536 2.5906043 0.3 0.3 0.3
458000 -0.94082069 2.5233449 0.3 0.3 0.3
459000 -0.76079163 2.5130918 0.3 0.3 0.3
460000 -1.0409567 1.9758857 0.3 0.3 0.3
461000 1.2293986 0.98395756 0.3 0.3 0.3
462000 1.2468307 0.74745102 0.3 0.3 0.3
463000 1.0452059 0.75805444 0.3 0.3 0.3
464000 0.78827057 0.56417166 0.3 0.3 0.3
465000 0.73443427 1.1291844 0.3 0.3 0.3
466000 0.67606669 1.0321121 0.3 0.3 0.3
467000 1.131926 0.26919597 0.3 0.3 0.3
468000 0.62142372 1.0723627 0.3 0.3 0.3
469000 0.48053552 1.0600642 0.3 0.3 0.3
470000 0.79944507 1.4583897 0.3 0.3 0.3
471000 0.80030327 0.82595896 0.3 0.3 0.3
472000 0.87486572 0.48188418 0.3 0.3 0.3
473000 1.1440378 2.2839497 0.3 0.3 0.3
474000 0.77229922 2.11761 0.3 0.3 0.3
475000 1.1946086 2.8194533 0.3 0.3 0.3
476000 1.1655363 2.9602646 0.3 0.3 0.3
477000 1.3214616 2.7002332 0.3 0.3 0.3
478000 1.0258662 2.5608071 0.3 0.3 0.3
479000 0.95055426 2.6194057 0.3 0.3 0.3
480000 1.0357188 2.5550207 0.3 0.3 0.3
481000 0.79072401 1.0432981 0.3 0.3 0.3
482000 0.64822871 1.1975361 0.3 0.3 0.3
483000 -1.165444 2.7141802 0.3 0.3 0.3
484000 -0.82564601 2.6672122 0.3 0.3 0.3
485000 -0.83834492 1.9931587 0.3 0.3 0.3
486000 -1.0320516 2.5416118 0.3 0.3 0.3
487000 -1.4543425 2.5644714 0.3 0.3 0.3
488000 -1.6415721 1.6226995 0.3 0.3 0.3
489000 -2.1794574 1.0801738 0.3 0.3 0.3
490000 -2.4846047 1.3706929 0.3 0.3 0.3
491000 -2.1482267 0.24095857 0.3 0.3 0.3
492000 -0.69941209 -0.96370083 0.3 0.3 0.3
493000 -1.1667928 -0.52154096 0.3 0.3 0.3
494000 -1.6494953 -0.66040115 0.3 0.3 0.3
495000 -1.7607868 -0.82504492 0.3 0.3 0.3
496000 -2.6523371 -0.5283702 0.3 0.3 0.3
